date,time,name,chat,Flirt_Label
01/01/2024,12:00 am,You,Team building event Friday,0
01/01/2024,12:05 am,Sara,Store closing in 15 minutes,0
01/01/2024,12:10 am,You,You're the plot twist I didn't expect,1
01/01/2024,12:15 am,Sara,Lowkey have a crush on you,1
01/01/2024,12:20 am,Sara,You + me = perfect chemistry,1
01/01/2024,12:25 am,Crush,Bank statement arrived today,0
01/01/2024,12:30 am,Crush,Train delayed 20 minutes,0
01/01/2024,12:35 am,You,Fridge needs defrosting,0
01/01/2024,12:40 am,Sara,Tonight feels empty without you,1
01/01/2024,12:45 am,You,Team meeting rescheduled,0
01/01/2024,12:50 am,You,Group call in 10 minutes,0
01/01/2024,12:55 am,Ali,Need help with the project?,0
01/01/2024,01:00 am,Sara,Your smile is dangerous 🔥,1
01/01/2024,01:05 am,You,You make my day better every time,1
01/01/2024,01:10 am,You,Dishwasher tablets running low,0
01/01/2024,01:15 am,Crush,You're my favorite kind of chaos,1
01/01/2024,01:20 am,Crush,Your vibe is everything I need,1
01/01/2024,01:25 am,Ali,Tire pressure low warning,0
01/01/2024,01:30 am,Crush,Caught myself smiling at my phone again,1
01/01/2024,01:35 am,Crush,Grocery list is on fridge,0
01/01/2024,01:40 am,Ali,What's for lunch today?,0
01/01/2024,01:45 am,You,Weather forecast says rain,0
01/01/2024,01:50 am,Sara,Your vibe is everything I need,1
01/01/2024,01:55 am,Ali,Stop being so charming 😅,1
01/01/2024,02:00 am,You,Exam results are out tomorrow,0
01/01/2024,02:05 am,Crush,You're my favorite notification,1
01/01/2024,02:10 am,You,Your eyes tell better stories than words,1
01/01/2024,02:15 am,Crush,Check your email for the link,0
01/01/2024,02:20 am,You,I'm studying for finals,0
01/01/2024,02:25 am,You,Stop making me like you more 😩,1
01/01/2024,02:30 am,Sara,I want your goodnight and good morning,1
01/01/2024,02:35 am,You,Traffic is terrible today,0
01/01/2024,02:40 am,Ali,You make boring days exciting,1
01/01/2024,02:45 am,Ali,You're the plot twist I didn't expect,1
01/01/2024,02:50 am,Crush,Your voice is kinda addictive,1
01/01/2024,02:55 am,Sara,Good morning beautiful ☀️,1
01/01/2024,03:00 am,Ali,Your laugh makes everything better,1
01/01/2024,03:05 am,You,You fit perfectly in my daydreams,1
01/01/2024,03:10 am,Sara,Light bulb burned out again,0
01/01/2024,03:15 am,Sara,Group call in 10 minutes,0
01/01/2024,03:20 am,You,Printer ink running low,0
01/01/2024,03:25 am,Sara,Group project meeting tomorrow,0
01/01/2024,03:30 am,You,Car insurance payment due,0
01/01/2024,03:35 am,You,Check your email for the link,0
01/01/2024,03:40 am,Ali,Meeting minutes uploaded,0
01/01/2024,03:45 am,Crush,Missed voice call,0
01/01/2024,03:50 am,You,You looked amazing today 😍,1
